ID,Código,Documento,Departamento,Ruta SG chat,Formato,Revisión anterior,Revisión nueva propuesta,Fecha actualización,Estado,Cambio realizado,Responsable,Aprobador,SHA-256
126,BORRADOR,Borrador vacaciones.docx,RRHH,RRHH/PROCEDIMIENTOS Y COMUNICADOS DADA/Borrador vacaciones.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f49b3f174ba1f9d45ccdcfe62352bb0c23df55299634481c9e702d7ffb5b10b1
127,COMUNICA,Comunicado interno - CERTIFICADOS MEDICOS.docx,RRHH,RRHH/PROCEDIMIENTOS Y COMUNICADOS DADA/COMUNICADOS ENVIADOS/Comunicado interno - CERTIFICADOS MEDICOS.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,979e695a3cdf15fc4add2eb123a8eba32b27a0cd301e1f14d8fa943d40739f4f
128,IRH-006,IRH-006_Reglamento_interno_B.doc,RRHH,RRHH/PROCEDIMIENTOS Y COMUNICADOS DADA/IRH-006_Reglamento_interno_B.doc,doc,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,833afb59f3f6d67d952bbe6ea7167f577573ce909e8466ade98a21bda5fe9aa8
129,PROCEDIM,PROCEDIMIENTO - ENVIO DE CERTIFICADOS MEDICOS.docx,RRHH,RRHH/PROCEDIMIENTOS Y COMUNICADOS DADA/PROCEDIMIENTO - ENVIO DE CERTIFICADOS MEDICOS.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,7fb20c72f971de04782b532a4d7e42a5d32744b00dd377f81a3504eefe5fc7ea
130,PROCEDIM,PROCEDIMIENTO ANTE ACCIDENTES LABORALES.docx,RRHH,RRHH/PROCEDIMIENTOS Y COMUNICADOS DADA/PROCEDIMIENTO ANTE ACCIDENTES LABORALES.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,40245316644bbe9f324a5e9b66be9330ede79d78fef02777990d483c94d13108
131,PROCEDIM,PROCEDIMIENTO DE HORARIOS Y JUSTIFICACIÓN DE AUSENCIAS (Puntos que envio Andrea).docx,RRHH,RRHH/PROCEDIMIENTOS Y COMUNICADOS DADA/PROCEDIMIENTO DE HORARIOS Y JUSTIFICACIÓN DE AUSENCIAS (Puntos que envio Andrea).docx,docx,N,O,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,1a806fedbe09951797953fb134e6f743293732850be121a43edcdf7dcbf867f8
132,PROCEDIM,PROCEDIMIENTO PARTE DE NOVEDADES.docx,RRHH,RRHH/PROCEDIMIENTOS Y COMUNICADOS DADA/PROCEDIMIENTO PARTE DE NOVEDADES.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,535309bf65f43b5c582ed8e9b1eac9d81b1f90079375f0e29a1529d881cebb99
133,PROCEDIM,PROCEDIMIENTO VACACIONES.docx,RRHH,RRHH/PROCEDIMIENTOS Y COMUNICADOS DADA/PROCEDIMIENTO VACACIONES.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,7cec0cd8dd4cb5e0b58c09ce1e3599517ef6ff28b571167d3443b75be9dcf2fa
134,PSG-19,PSG-19_Formacion_E(1).doc,RRHH,RRHH/PROCEDIMIENTOS Y COMUNICADOS DADA/PSG-19_Formacion_E(1).doc,doc,E,F,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,72c964c2a1b8cd4f955d499d349ef4d38ea7bc4ac3b43bdca4c9237b4e04f711
135,PROCEDIM,Procedimiento Selecion y estudios medicos.docx,RRHH,RRHH/PROCEDIMIENTOS Y COMUNICADOS DADA/Procedimiento Selecion y estudios medicos.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ed3e9bbda79e8463392649ca89c2285c1e7b7fc26fbf36c01b0309ec40ac2eac
136,F-22,F-22 B Supervisor Operativo.docx,RRHH,RRHH/Perfiles de puesto/F-22 B Supervisor Operativo.docx,docx,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,38ca84358305119668c8e5ee30d7643e38cacf1338f44e4fb88f4b922f855aad
137,F-35,F-35 Supervisor procesos y calidad operativa Cordoba E.doc,RRHH,RRHH/Perfiles de puesto/F-35 Supervisor procesos y calidad operativa Cordoba E.doc,doc,E,F,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,e25097500c1e7d99e839b722e599569db637318e129026f49282e4a085866e01
138,DOCUMENT,DOCUMENTACION.docx,RRHH,RRHH/Perfiles de puesto/LISTOS OK/DOCUMENTACION.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,fdfb44b6c899e3bacb14e99bb63250d0e0332daebb6b624b3e1c85e2cb2a5fc6
139,SUPERVIS,SUPERVISOR BELLA VISTA MOPAR Y COORDINADOR LARGA DISTANCIA.docx,RRHH,RRHH/Perfiles de puesto/LISTOS OK/SUPERVISOR BELLA VISTA MOPAR Y COORDINADOR LARGA DISTANCIA.docx,docx,Y,Z,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,efee4f00dc62a26a304d6ae81e25c44157bd63cf94cba9478ea293193dec29e7
140,SUPERVIS,SUPERVISOR PACHECO & GENERAL RODRÍGUEZ MOPAR.docx,RRHH,RRHH/Perfiles de puesto/LISTOS OK/SUPERVISOR PACHECO & GENERAL RODRÍGUEZ MOPAR.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,7a75f481360149d34b81740de5d265efeac0e82ddfd7fb15cebe6201ca9f2ad4
141,SUPERVIS,SUPERVISOR PSA.docx,RRHH,RRHH/Perfiles de puesto/LISTOS OK/SUPERVISOR PSA.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,9f0e181e711a3a44f015f47b98cd0d63f1b69af950005496c48251887e34c7c9
142,,25.docx,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas 2024/1/25.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,d3a80c56772db66bda37d0cd1dd35e0e744eedc8c0ff3fc2bce11ef99f9b832d
143,PRUE-05.3,PRUE-05.3_Programa_de_Auditorias_escalonadas_A.docx,Ruedas,Ruedas/En vigor/Auditorias/CBA/PRUE-05.3_Programa_de_Auditorias_escalonadas_A.docx,docx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ded7d927402f268da254f22bcdb849b34742aab3019a3f828ff19d17ceb5effe
144,FG-18,FG-18.G_Maestro_de_Documentos_1).xlsx,Ruedas,Ruedas/En vigor/FG-18.G_Maestro_de_Documentos_1).xlsx,xlsx,G,H,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,5c8f84c3de035c4bee9b3543094c8275eb1b9ca1b19a1c98dc2d71ed385df95c
145,FG-06,FG-06 C. Matriz_de_objetivos_ruedasa.xlsx,Ruedas,Ruedas/En vigor/Formularios/FG-06 C. Matriz_de_objetivos_ruedasa.xlsx,xlsx,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,0c0ae2e295af638cd6e43913d4d251389c3a7358d6561f652e0b4e0d3e5401e6
146,FG-07,FG-07 C Contexto_y_partes_interesadas_con_organismos.xlsx,Ruedas,Ruedas/En vigor/Formularios/FG-07 C Contexto_y_partes_interesadas_con_organismos.xlsx,xlsx,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f1e619160ef5f93290024dbddfde0758f6c8aba69715df5cf910b4c94fe56acf
147,FG-10,FG-10_A._Calificacion_de_auditores.xlsx,Ruedas,Ruedas/En vigor/Formularios/FG-10_A._Calificacion_de_auditores.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,4de03ac36385a9f5d0752aa31a216d5d120150a8df3b29048a614e53e27a3891
148,FG-33,FG-33 B Mantenimiento Linea.xlsm,Ruedas,Ruedas/En vigor/Formularios/FG-33 B Mantenimiento Linea.xlsm,xlsm,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,bf5027e5aaf8b0346e5bacec40a5c74c9d12647b4ca81499c725a14926a9d803
149,HP,HP_-_Control_final.xlsx,Ruedas,Ruedas/En vigor/Formularios/HP_-_Control_final.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,d9d9383e974cfbd98aa2dc0ea2e244e1f7a3156bb76ae3c643a34e597cd5ae4f
150,HP,HP_-_Inflado.xlsx,Ruedas,Ruedas/En vigor/Formularios/HP_-_Inflado.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f01bbdbc5656f2210830b519a14d00015cffa727dd110fb9ce7b221caaff12e9
151,HP,HP_-_Trazabilidad.xlsx,Ruedas,Ruedas/En vigor/Formularios/HP_-_Trazabilidad.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,8a7906e87c2ae7607e6e1b6fa197c0b214d068fb31e1cbfd811d69c748fe2f3d
152,HP,HP_CONJUNTO_CHAPA.xlsx,Ruedas,Ruedas/En vigor/Formularios/HP_CONJUNTO_CHAPA.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,c876f02c80a89596c8b37c2a37ee662b9ad27276bbab8cdb386a1c272ed2db60
153,HP,HP_Calibracion.xlsx,Ruedas,Ruedas/En vigor/Formularios/HP_Calibracion.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,10376c6c6ae6ce594b86b32945facefac23d1010240c6b60adcf12f1d13ac2f2
154,ICA-006.1,ICA-006.1_AMFE_-_Conjunto_de_Rueda_K.xlsx,Ruedas,Ruedas/En vigor/Formularios/ICA-006.1_AMFE_-_Conjunto_de_Rueda_K.xlsx,xlsx,K,L,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ee85b9d6e1030f78c3b1b796a1ba04eaa0e64deb90a250caaabe500be314413e
155,IMT-001.5,IMT-001.5_Repuestos_criticos_A(2).xlsx,Ruedas,Ruedas/En vigor/Formularios/IMT-001.5_Repuestos_criticos_A(2).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,671d6e2cc837073db1c8b6462a5ebc49ba9fb5ded5d503661d0cb043d622cfbd
156,IMT-001,IMT-001_cronograma_de_mantenimiento_2017.xlsx,Ruedas,Ruedas/En vigor/Formularios/IMT-001_cronograma_de_mantenimiento_2017.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,0e201318dbc5f1287745abd1561233e3022855edf460a11195fe7e5113b3ee40
157,MP-RUE-01,MP-RUE-01_B_Mapa_de_procesos.xlsx,Ruedas,Ruedas/En vigor/Formularios/MP-RUE-01_B_Mapa_de_procesos.xlsx,xlsx,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,7b551b116add9d4363b36a64b37e1b7051b75bdacc4bcad0f211864966a41450
158,P-SG-03,P-SG-03_1_Análisis_de_Factibilidad_y_riesgo_de_proyectos_D_X6S.xlsx,Ruedas,Ruedas/En vigor/Formularios/P-SG-03_1_Análisis_de_Factibilidad_y_riesgo_de_proyectos_D_X6S.xlsx,xlsx,S,T,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,c440bf8e315ff2183e8af60e9f4996b178dc4c9fdacb8173ad1d09b8acbda109
159,PRUE-06.1,PRUE-06.1_Listado_Maestro_de_Dispositivos_Poka_Yoke_A.xlsx,Ruedas,Ruedas/En vigor/Formularios/PRUE-06.1_Listado_Maestro_de_Dispositivos_Poka_Yoke_A.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,d8b6d4b391aebe87b7d2c4747380d421cc28cc823ca79625c48932027e90556e
160,PRUE-06.2,PRUE-06.2_Check_List_inicio_de_turno_-_C.xlsx,Ruedas,Ruedas/En vigor/Formularios/PRUE-06.2_Check_List_inicio_de_turno_-_C.xlsx,xlsx,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,c24531e3fca6773bfffd48fa9ccd7d1da5c26ae3d85b4d93dbcf7b681ae6cb70
161,PRUE-18.2,PRUE-18.2_Etiqueta_Estado_de_calibracion_A.xlsx,Ruedas,Ruedas/En vigor/Formularios/PRUE-18.2_Etiqueta_Estado_de_calibracion_A.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,2fae6292f3dc0b5be20ef07f6e43d0f66623c77bb4172892b1f7d0051221ec98
162,PRUE-18.3,PRUE-18.3_Planilla_de_Instrumentos_A.xlsx,Ruedas,Ruedas/En vigor/Formularios/PRUE-18.3_Planilla_de_Instrumentos_A.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,70e3574ed498d80bffab00b4ae61717230415b2894166d2196715ac8a406804d
163,PRUE-20.2,PRUE-20.2_Tabla_de_Muestreo_de_recepcion.xlsx,Ruedas,Ruedas/En vigor/Formularios/PRUE-20.2_Tabla_de_Muestreo_de_recepcion.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ffb613df06deb060fa98c1b6b2985d9d30e7b784c083f241700e673a22e53076
164,PRUE-20.5,PRUE-20.5_Control_Final_de_Linea_A.xlsx,Ruedas,Ruedas/En vigor/Formularios/PRUE-20.5_Control_Final_de_Linea_A.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,0ad24d4418e59deb2b8a2a80ac6d0c643eb9a27facd374d81870b943b21c264d
165,PRUE-20.6,PRUE-20.6_Control_de_Recepcion_de_Llantas_y_Neumaticos.xlsx,Ruedas,Ruedas/En vigor/Formularios/PRUE-20.6_Control_de_Recepcion_de_Llantas_y_Neumaticos.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f0e52ad9fb6a5f9228c73de9f8e8aa0b59f739c0e2820bf38387390b1388ba2b
166,PLAN,Plan_de_Control_-_Conjunto_de_Rueda_I.xlsx,Ruedas,Ruedas/En vigor/Formularios/Plan_de_Control_-_Conjunto_de_Rueda_I.xlsx,xlsx,I,J,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,a318c4bc757459109ffb90e76511363988d7c694e5882bf575752754639c6601
167,ICA-006.1,ICA-006.1_AMFE_-_Conjunto_de_Rueda_K.xlsx,Ruedas,Ruedas/En vigor/Instructivo/ICA-006.1_AMFE_-_Conjunto_de_Rueda_K.xlsx,xlsx,K,L,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ee85b9d6e1030f78c3b1b796a1ba04eaa0e64deb90a250caaabe500be314413e
168,ICA-010,ICA-010_D_Proceso_de_Sel.doc,Ruedas,Ruedas/En vigor/Instructivo/ICA-010_D_Proceso_de_Sel.doc,doc,D,E,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,7825147bf682c19ec99e9d8a188d304b461fdc5798a8ca9b1e81f2cf778a9d1c
169,ING-001,ING-001_Solicitud_de_desviacion_de_ingenieria_D.doc,Ruedas,Ruedas/En vigor/Instructivo/ING-001_Solicitud_de_desviacion_de_ingenieria_D.doc,doc,D,E,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f02809090bc8121050d117eac890a755c60bce9b798d09067314396cc63d4d6f
170,ING-003,ING-003_Elaboracion_de_la_documentacion_de_ingenieria_C.doc,Ruedas,Ruedas/En vigor/Instructivo/ING-003_Elaboracion_de_la_documentacion_de_ingenieria_C.doc,doc,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,835c23a8f2df70f5d23077d4cef908e90cbf2a9f71a4cdf66ddd5898a2f944b3
171,PRUE-15,PRUE-15_Plan_de_contingencias_D.docx,Ruedas,Ruedas/En vigor/Instructivo/PRUE-15_Plan_de_contingencias_D.docx,docx,D,E,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,13f5da4b6133af5814c3da40afc05039ea8f14760dfd20c3dcddb612fa5da1bb
172,PRUE-16,PRUE-16_Secuenciado_C.docx,Ruedas,Ruedas/En vigor/Instructivo/PRUE-16_Secuenciado_C.docx,docx,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ce8709c8d7bbf983b8589a64b7203ee2d177a5c57db974b8caa2bf1ec0b3c4a9
173,PRUE-17,PRUE-17_Trazabilidad_C.docx,Ruedas,Ruedas/En vigor/Instructivo/PRUE-17_Trazabilidad_C.docx,docx,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,9e9d423e48d822419ccb4c9a3055e505516d52fc048fb9033e823a2b4d9fabd2
174,PRUE-19,PRUE-19_B_Gestion_de_la_seguridad_del_producto.docx,Ruedas,Ruedas/En vigor/Instructivo/PRUE-19_B_Gestion_de_la_seguridad_del_producto.docx,docx,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,72550b9d22050a77643a9fb482e244b8fcd459684f1c40d3bd4b4b5c7aa32e04
175,PRUE-20.1,PRUE-20.1_Gamas_de_Control_de_Recepcion_A.xlsx,Ruedas,Ruedas/En vigor/Instructivo/PRUE-20.1_Gamas_de_Control_de_Recepcion_A.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,e636b82c10f3915382706e1744deb854a1545e71d0bef2a669d009cacffb0bf6
176,PG-01,PG-01_B_-_Procedimiento_Reclamos_de_cliente.docx,Ruedas,Ruedas/En vigor/Procedimientos/PG-01_B_-_Procedimiento_Reclamos_de_cliente.docx,docx,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,239bb73437fe5c6624bdb226c012cbb61c79d45e2da4bdbd8ccef01b997743a1
177,PG-02,PG-02_B_-_Procedimiento_general_para_abordar_riesgos.docx,Ruedas,Ruedas/En vigor/Procedimientos/PG-02_B_-_Procedimiento_general_para_abordar_riesgos.docx,docx,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,5befe3c4c8e687d2f090abf42ae915e097f45328a76928b7d27339b19e059fce
178,PG-14,PG-14_B_Procedimiento_de_revisión_por_la_alta_dirección.doc,Ruedas,Ruedas/En vigor/Procedimientos/PG-14_B_Procedimiento_de_revisión_por_la_alta_dirección.doc,doc,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,0977c2dcaea99e15a83954097e254700dd7469fab7bb992157f267ec8f693b30
179,PG-15,PG-15_A_actividades_de_calidad.xlsx,Ruedas,Ruedas/En vigor/Procedimientos/PG-15_A_actividades_de_calidad.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,57a9293e6a0dfd8ead25e76c36ae5c30702bf7ee75e784a8167c291f695e0122
180,PRUE-01,PRUE-01_Deteccion_y_resolucion_de_problemas_A(1).docx,Ruedas,Ruedas/En vigor/Procedimientos/PRUE-01_Deteccion_y_resolucion_de_problemas_A(1).docx,docx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,e64e698f565e7bc6af1a7c2fc88b795dbef7df047bf4e68bf51d980e4dcb9568
181,PSG-19,PSG-19_Formacion_E(1).doc,Ruedas,Ruedas/En vigor/Procedimientos/PSG-19_Formacion_E(1).doc,doc,E,F,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,13b8a81f242a1588cadf7cb227f92613b5d3d71dac5476f74e2e468355b71d8f
182,ANEXO,ANEXO_1-_Plan_de_Mantenimiento_Unidades_DADA.xlsx,Tráfico,Tráfico/Tráfico Bs As/En vigor/ANEXO_1-_Plan_de_Mantenimiento_Unidades_DADA.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,6dd453ff81fffc956a94e88ab24f251bf4212f941335d1c766a0eb60b5cc1f30
183,ANEXO,ANEXO_2-A.-_Lista_de_chequeo_de_mantenimiento.xlsx,Tráfico,Tráfico/Tráfico Bs As/En vigor/ANEXO_2-A.-_Lista_de_chequeo_de_mantenimiento.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,57bf60de627fac7cb91c5ffd93e9045ac7770856d2cf27b55b2fcc3eeea2a471
184,ANEXO,ANEXO_3_A.-_Plan_de_Mantenimiento_Unidades_DADA.xlsx,Tráfico,Tráfico/Tráfico Bs As/En vigor/ANEXO_3_A.-_Plan_de_Mantenimiento_Unidades_DADA.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,8f77e799b547196ea9c01ba6a2a27d2151ea0d50a5db800a4c24150d64fb78ec
185,ANEXO,ANEXO_4-A.-_Hoja_de_procesos_-_Proceso_de_Seguimiento_Satelital_de_Unidades_DADA_1_.xlsx,Tráfico,Tráfico/Tráfico Bs As/En vigor/ANEXO_4-A.-_Hoja_de_procesos_-_Proceso_de_Seguimiento_Satelital_de_Unidades_DADA_1_.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,0795879236aca21400a6b8db15989a5a2837aa4da2b7b51cbfe62588966c3855
