ID,Código,Título / archivo,Tipo,Departamento / proceso,Ruta relativa,Revisión actual,Revisión objetivo,Estado documental,Aplicabilidad,Cláusulas relacionadas,Responsable,Aprobador,Fecha última revisión,Próxima revisión,Retención,Medio,Observaciones,SHA-256
552,LISTOS,LISTOS OK.zip,ZIP,RRHH,RRHH/Perfiles de puesto/LISTOS OK.zip,,A,Registro/evidencia — conservar,Sistema KIMI,7.1.2; 7.2; 7.3 / IATF 7.2.1–7.3.2,A definir por dueño de proceso,Dirección / autoridad designada,2026-05-09,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,bcab40922c10be9c6773e112a5f1eee5e4486b373e6f596effc8abc82e20ffb0
553,POLITICA,Politica.Calidad (4).pdf,PDF / evidencia,RRHH,RRHH/Politica.Calidad (4).pdf,,A,Registro/evidencia — conservar,Sistema KIMI,7.1.2; 7.2; 7.3 / IATF 7.2.1–7.3.2,A definir por dueño de proceso,Dirección / autoridad designada,2022-11-10,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
554,,02.Dec.24-NcManagement-105750-TS-M06998-0766_24-19.Nov.2024-21.Nov.2024.json,JSON,Ruedas,Ruedas/En vigor/Auditorias/2024/02.Dec.24-NcManagement-105750-TS-M06998-0766_24-19.Nov.2024-21.Nov.2024.json,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-12-02,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,d7fb8a2f0dfe22435d1300091d5e6289cfb3448016b9675f8933a8db1f871d41
555,,11.Nov.24-NcManagement-DADA_S.A___101070-TS-M06998-0641_21-29.Nov.2023-01.Dec.2023.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/11.Nov.24-NcManagement-DADA_S.A___101070-TS-M06998-0641_21-29.Nov.2023-01.Dec.2023.pdf,S,T,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,09059309aa1b664aecae69e788dfd529a1e3133a32d2ce0667fd8e49a8e0b56b
556,,7-Indicadores Calidad 2024.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/7-Indicadores Calidad 2024.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-10-30,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,538958f1c6cc9c6c4f4aec8e5f671bbe399a22cdf54d4637fd5615b9dd8f2438
557,FG-09,FG-09 Auditoria Esopecial 2025 nº 2.xlsx.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditoria Especial/FG-09 Auditoria Esopecial 2025 nº 2.xlsx.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-02-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,5d768828af701099bc24db432d0f5279358bf7c9bc8ac5222c09cf9438510ac7
558,FG-09,FG-09 Auditoria Esopecial 2025 nº 3.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditoria Especial/FG-09 Auditoria Esopecial 2025 nº 3.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-02-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e6a7cb9aa941085ddc2f013e5fc6c04c30daf2cbf4c05ba1eca1dc510f75507e
559,FG-09,FG-09 Auditoria Esopecial 2025 nº 4.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditoria Especial/FG-09 Auditoria Esopecial 2025 nº 4.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-02-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,3e1fca0846aba48691dc2fda7f85a77b4bc74af162ccee73609f48158cb7817d
560,FG-09,FG-09 Auditoria Esopecial 2025 nº1xlsx.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditoria Especial/FG-09 Auditoria Esopecial 2025 nº1xlsx.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-02-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e0bf728e64ebe7a6a1ba300e1aac9e15af6d03805e26fc8fc66a6a50d5bb27a5
561,CORREO,Correo notificacion NC01.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditoria Especial/PDF/Correo notificacion NC01.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-02-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,51f4760fc273b4fe9e0e903cb2d457e28585e2152567ce1a6fda591e64069610
562,FG-09,FG-09 Auditoria Esopecial 2025 nº 2.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditoria Especial/PDF/FG-09 Auditoria Esopecial 2025 nº 2.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-02-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,9dbf2350973dea411d49968b63931dcd0fa243cb277dfd30818c343ddc59cfd5
563,FG-09,FG-09 Auditoria Esopecial 2025 nº 3.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditoria Especial/PDF/FG-09 Auditoria Esopecial 2025 nº 3.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-02-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,22c03103456768a75ca25d8eb7c2ae35dfc547c3fd0a1baa54130c1835719e9c
564,FG-09,FG-09 Auditoria Esopecial 2025 nº 4.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditoria Especial/PDF/FG-09 Auditoria Esopecial 2025 nº 4.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-02-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,aad514d1a915f39efd163751194c593b30138e586a7aa7a614f8cd9004aac4e9
565,FG-09,FG-09 Auditoria Esopecial 2025 nº1 xlsx.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditoria Especial/PDF/FG-09 Auditoria Esopecial 2025 nº1 xlsx.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-02-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,160689b763c3fc5cecdc5f0121c6064aba12edde3d2235cdd0d59ee04830ba1b
566,ISONIC,ISONIC NC02.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditoria Especial/PDF/ISONIC NC02.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-12-02,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,a941d37a29146ed4d8db58b76974ab2f065d450d95742733e3271c5cfed0e2d8
567,PLAN,Plan de accion 2024 IATF NC4 .pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditoria Especial/PDF/Plan de accion 2024 IATF NC4 .pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-02-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,3b3e84bd5e54c3d4f6cb77540203173e48428b26a3b0ffc7179eb209fe2fefff
568,FG-05,FG-05 Plan anual de Auditoria 2024 ISO.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/FG-05 Plan anual de Auditoria 2024 ISO.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,f8ce8c8dfc03d06030c61b521c90ff5f27f64eab78186f88ee57a5f7d5bcb9a6
569,FG-05,FG-05 Plan anual de Auditoria 2024.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/FG-05 Plan anual de Auditoria 2024.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e5fd50b50fb8708f8d0754a87074a402ee20ea1b8e69728416e53ce5e81274d5
570,FG-09,FG-09 B informe auditoria interna Ruedas 2025.docx,Documento Word,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/FG-09 B informe auditoria interna Ruedas 2025.docx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-17,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,43d32369b46a2a5a38fac2fbeac76847f99102482f921a835fa29b6229d6f5d0
571,FG-09,FG-09 B informe auditoria interna Ruedas.docx,Documento Word,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/FG-09 B informe auditoria interna Ruedas.docx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,7f1308d43af8117d22dcb7f549492d96f02e99045c5fcbb6f5f8ae34c4a5de08
572,FG-09,FG-09_Informe_de_Auditoria_Interna  RRHH.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/FG-09_Informe_de_Auditoria_Interna  RRHH.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,7.1.2; 7.2; 7.3 / IATF 7.2.1–7.3.2,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e6a989a33b247dcf81931fbea85b2fcf57a5d0cad9465d06f8fce9e35e7d329e
573,FG-09,FG-09_Informe_de_Auditoria_Interna - Trafico2.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/FG-09_Informe_de_Auditoria_Interna - Trafico2.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,bfef9f29a3c0f9aa7851692e69009f5013e4509b30f0bfa0060c47fd4822cb4d
574,FG-09,FG-09_Informe_de_Auditoria_Interna CALIDAD.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/FG-09_Informe_de_Auditoria_Interna CALIDAD.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,569abc67517f4291f94a36e0c49c4a52ecd2113da6734dbad5e1d2798b104c8c
575,FG-09,FG-09_Informe_de_Auditoria_Interna CKD(1).xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/FG-09_Informe_de_Auditoria_Interna CKD(1).xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,18526078195bbf95a7dc8a0cfaf3842ea81e850c4a0a77cb68451d7d12c3a567
576,FG-09,FG-09_Informe_de_Auditoria_Interna COMPRAS.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/FG-09_Informe_de_Auditoria_Interna COMPRAS.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,22c784c32684a4b85bb1f6d6e8e0d38bfe5a12a08be69d9f3c01d00a4aa54d0d
577,FG-09,FG-09_Informe_de_Auditoria_Interna Paragolpes(1).xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/FG-09_Informe_de_Auditoria_Interna Paragolpes(1).xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,1702a7b3c477b6444b06baff2a4e51a45e421b4bdb0a49e21ee887162643e3a2
578,FG-09,FG-09_Informe_de_Auditoria_Interna Proyectos - Procesos.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/FG-09_Informe_de_Auditoria_Interna Proyectos - Procesos.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,6d7d2a85b0ab5e6cde945edcdf523df164ac12ab0a9e358725a72958a742c6a0
579,FG-09,FG-09_Informe_de_Auditoria_Interna VENTAS.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/FG-09_Informe_de_Auditoria_Interna VENTAS.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,80adddd7661c01f6006976b6a703e7d350ba2a08bfcf9710b6ace026a9d38023
580,PLAN,Plan de accion 2024.xls,Planilla Excel legado,Ruedas,Ruedas/En vigor/Auditorias/2024/Auditorias internas/Plan de accion 2024.xls,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2023-11-21,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,bec8bdfec37c2f21d88ea87a823c99a87bb37f6feefb0a9ce7f97a018e524752
581,CSR,CSR AITF 16949 Oct 2024.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/CSR AITF 16949 Oct 2024.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-10-30,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,aa7d85fb0f6bbdad22871e1c3f67af3d7504af253d314f17f25290093b6aae52
582,CONTEXTO,Contexto y partes interesadas.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Contexto y partes interesadas.xlsx,Y,Z,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-10-28,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,32f594d1e32d946340eefc543ece360090f41437f22e1a83bf85a86c6415bf27
583,COPIA,Copia de F.0038.29.ES_Datos Clientes y Plan de Auditoria IATF.XLSX,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/Copia de F.0038.29.ES_Datos Clientes y Plan de Auditoria IATF.XLSX,F,G,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,9b3a5e6ec73b7a74bbf3a2aa636943f8a491ada5440ea4cc9da8543f7c16b255
584,FG-01,FG-01. B Foda General 2023.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/FG-01. B Foda General 2023.xlsx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2023-11-21,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,bc5b7bd37397ee13d1fee6d5192996cd8ef4aa3af20057e05304782b54552d5c
585,FG-06,FG-06 C Matriz de objetivos de calidad.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/FG-06 C Matriz de objetivos de calidad.xlsx,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-19,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e69fcf46a51edec5bfc7c2f520c959e42509d5ae29c95a228f6b5a5952d43fa0
586,FG-09,FG-09 B informe auditoria interna Ruedas 2024.docx,Documento Word,Ruedas,Ruedas/En vigor/Auditorias/2024/FG-09 B informe auditoria interna Ruedas 2024.docx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-19,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,dcbd5c846ca39be10687cc4f22d008682870dfcc32aa07aa831ea23a39d18862
587,FG-09,FG-09 B informe auditoria interna Ruedas.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/FG-09 B informe auditoria interna Ruedas.pdf,B,C,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,868b470106d529dd357dfb02b02f2aa1885c7ec4d61d864657b5b5605b7c485f
588,FG-09,FG-09 B informe auditoria interna Ruedass.docx,Documento Word,Ruedas,Ruedas/En vigor/Auditorias/2024/FG-09 B informe auditoria interna Ruedass.docx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-19,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e234c838bc8243f7a62d58c185eb600dde6f49a948bf9cd8a24476a56138a0f9
589,FO-03,FO-03-A._Analisis_riesgo RUEDAS almacen.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/FO-03-A._Analisis_riesgo RUEDAS almacen.xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-13,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,95277257e06575d5c7197ae3cf6b9719bd3c6f5213be76e7726bac119a63d6c5
590,FO-03,FO-03-A._Analisis_riesgo RUEDAS recepcionn.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/FO-03-A._Analisis_riesgo RUEDAS recepcionn.xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-13,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,0f29011a15688d2a8c782ecb2c39a78987c9f2369d4ae5e3af9e059da10fec3c
591,AUDITORI,Auditoria Int IATF-16949-2016.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/IATF/2022/Auditoria Int IATF-16949-2016.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2022-12-21,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,8ebcde88b0856cc003f10d8e60537c0739857bff790b0d4ddcc22cd39b6fdc55
592,CSR,CSR IATF 16949 2022.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/IATF/2022/CSR IATF 16949 2022.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2022-12-21,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e0af086bafb0eeb7a7f7ba599cd4829e919d8c3e3fe6c9e7d282558dce8e58eb
593,COMMONRE,CommonReport-W00148C-202212211714.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/IATF/2022/CommonReport-W00148C-202212211714.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2022-12-21,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,c047646395bb45195d03a4262837b2711c86d9876db792c3156b5efa319d0aba
594,COMPLETO,Completo F.0038.26_REMOTA_Datos y Plan de Auditoría_2ª SUP IATF 2022_DADA.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/IATF/2022/Completo F.0038.26_REMOTA_Datos y Plan de Auditoría_2ª SUP IATF 2022_DADA.xlsx,F,G,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2023-11-23,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,d9c8270acd1a29788cc3756c1194ce858c647f9f3d187753201630e681875cc0
595,CONTEXTO,Contexto y partes interesadas.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/IATF/2022/Contexto y partes interesadas.xlsx,Y,Z,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2022-11-10,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,35d34938a0e7169147b79f503776342df91a81ca09c9b854fe0ba993abe9ac49
596,EVALUACI,Evaluacion.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/IATF/2022/Evaluacion.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2022-12-21,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,13dcad236707edfa25c823dbd578be14c042b8e54976e527e4e5a512f910e0d0
597,FG-05,FG-05 Plan anual de Auditoria 2022 ISO.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2024/IATF/2022/FG-05 Plan anual de Auditoria 2022 ISO.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2022-12-29,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,ce56c97b329b955e7760cae6033d8dbe69d83f4bf4518719c0203967d3ceab32
598,INDICADO,Indicadores Logistica 2022.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/IATF/2022/Indicadores Logistica 2022.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2022-12-21,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,ad634298fc19eb075e49085ab1e4efcc7c558a53195085b2d2d732ff1e7467ad
599,MC-01,MC-01_B_Manual_de_Calidad_DADA_RUEDAS.DOCX,Documento Word,Ruedas,Ruedas/En vigor/Auditorias/2024/IATF/2022/MC-01_B_Manual_de_Calidad_DADA_RUEDAS.DOCX,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2022-12-21,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,283e3a2a0ae1236292a839754d1c2d52ed8cd1fabb941c7cda004516024515a1
